               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11862,            0.037751,                   0,             0.10898,            0.050633,            0.054362,            0.020892,            0.095777,            0.017397,                   0,               0.091,               0.001,               0.001
                   1,            0.088023,            0.041181,                   0,             0.15413,             0.29114,             0.17109,            0.064054,             0.07505,            0.017137,                   0,            0.081096,           0.0020958,           0.0020958
                   2,            0.072695,            0.039955,                   0,             0.17747,             0.24051,             0.16087,            0.062962,             0.06508,            0.034669,                   0,            0.071187,           0.0031873,           0.0031873
                   3,            0.064694,            0.037712,                   0,             0.46659,             0.50633,             0.47197,             0.22082,             0.05505,            0.023326,                   0,            0.061274,           0.0042745,           0.0042745
                   4,            0.059103,            0.035354,                   0,             0.34404,             0.60759,             0.38127,             0.17545,            0.056682,            0.016809,                   0,            0.051357,           0.0053572,           0.0053572
                   5,            0.058842,            0.035079,                   0,             0.31037,             0.52414,             0.38538,             0.21923,            0.055069,            0.016187,                   0,            0.041436,           0.0064357,           0.0064357
                   6,            0.054424,            0.032755,                   0,             0.24969,             0.62025,             0.33878,             0.19538,            0.048083,            0.016203,                   0,             0.03151,           0.0075097,           0.0075097
                   7,            0.051644,              0.0329,                   0,             0.29015,             0.43038,             0.30058,             0.15443,            0.052877,            0.014591,                   0,            0.021579,           0.0085794,           0.0085794
                   8,            0.047747,            0.032994,                   0,             0.16634,             0.53165,             0.16669,            0.080078,            0.050248,            0.024469,                   0,            0.011645,           0.0096448,           0.0096448
                   9,             0.04792,            0.032421,                   0,             0.26475,              0.4557,             0.22857,             0.11414,            0.046286,            0.025652,                   0,           0.0098218,           0.0098218,           0.0098218
                  10,            0.044786,             0.02933,                   0,             0.42396,             0.50633,             0.40173,             0.21768,            0.045004,            0.014169,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.042065,            0.032087,                   0,             0.42117,             0.51899,              0.3902,             0.22054,            0.040566,            0.013422,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.040275,            0.030007,                   0,              0.5062,             0.46835,             0.45367,             0.25729,            0.042881,             0.01342,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.039235,             0.03188,                   0,              0.4049,             0.62873,             0.47592,             0.27111,            0.035211,             0.01437,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.037528,            0.031408,                   0,             0.44858,             0.68995,             0.48375,             0.24858,            0.041971,            0.012703,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037619,            0.030608,                   0,             0.53111,             0.51899,             0.51938,             0.27432,             0.04103,             0.01245,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.036591,            0.030267,                   0,             0.58804,             0.59494,             0.61496,             0.27888,            0.038822,            0.013677,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.038097,            0.031019,                   0,             0.62808,             0.40506,             0.44651,             0.22682,            0.042153,            0.014784,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.035283,             0.02813,                   0,             0.42596,             0.43038,             0.31917,             0.16843,            0.040101,            0.015584,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.035589,            0.028561,                   0,             0.54702,             0.49367,             0.51353,             0.30045,            0.034003,            0.012711,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.032549,            0.028507,                   0,             0.74623,             0.52116,             0.61046,             0.31896,            0.041409,            0.014155,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.034739,            0.026734,                   0,             0.56559,             0.53165,             0.45459,             0.21284,            0.039386,            0.014884,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.033331,            0.027531,                   0,             0.44103,             0.56962,             0.48831,             0.26453,            0.037142,            0.014085,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.035074,            0.028439,                   0,              0.4073,             0.63501,             0.41709,             0.21778,            0.037969,            0.014112,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.032234,            0.026228,                   0,              0.3735,             0.58228,             0.35244,             0.19995,            0.032969,            0.014954,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,             0.03293,              0.0259,                   0,              0.4523,             0.64557,             0.47144,             0.26763,            0.030916,            0.014513,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.032547,            0.025714,                   0,             0.40538,             0.63863,             0.44329,             0.25953,            0.033526,            0.014406,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.032022,            0.027345,                   0,             0.35095,             0.54758,             0.36479,             0.18964,            0.034115,             0.01564,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.031808,            0.024476,                   0,             0.61499,             0.54596,             0.50821,             0.27285,            0.038218,            0.015372,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.032048,             0.02651,                   0,             0.51763,             0.62487,             0.48154,             0.27597,            0.037286,            0.014699,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.030322,            0.026152,                   0,             0.44735,             0.53165,             0.40353,             0.24009,            0.034374,             0.01514,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.029377,            0.023553,                   0,             0.38133,              0.5443,             0.39572,             0.21659,            0.035261,            0.014387,                   0,            0.009406,            0.009406,            0.009406
